,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore,Ncore
,AmbT_10m,AmbT_10m,CO,CO,NO,NO,NOy,NOy,O3,O3,PM10L,PM10L,PM25L,PM25L,RH,RH
,DEGC,DEGC,PPM,PPM,PPB,PPB,PPB,PPB,PPB,PPB,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,% RH,% RH
Date,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags,Value,Flags
11-Apr-2024 00:00,-2,,0.367,,0.7,E,9.2,,,IE,115,,92.8,,74.8,
11-Apr-2024 01:00,-2.9,,0.215,,1.8,,15.2,,6.8,,30,,4.3,,79.2,
11-Apr-2024 02:00,-2.7,,,IE,1.6,,15.8,,7.3,,24,,2.9,,78.5,
11-Apr-2024 03:00,-2.7,,0.185,,,IE,,IE,16.4,,6,,7.3,,75.1,
11-Apr-2024 04:00,-3.6,,0.184,,0.9,,10.7,,10.7,,15,,5.4,,78.2,
11-Apr-2024 05:00,-3,,0.245,,3,,18.3,,6.4,,34,,4.3,,79.3,
11-Apr-2024 06:00,-2.5,,0.413,,18.5,,41.4,,2.9,,81,,5.5,,77.4,
11-Apr-2024 07:00,-1.2,,0.266,,6.9,E,16.4,E,19.9,,41,,5,,66.1,
11-Apr-2024 08:00,0.1,,0.154,,0.7,E,5.1,,28.5,,29,,2.2,,58.4,
11-Apr-2024 09:00,1.3,,0.154,,0.9,,4.7,,31,,39,,2.5,,54.2,
11-Apr-2024 10:00,2.6,,0.178,,1,,4.2,E,33,,32,,2.1,,51.3,
11-Apr-2024 11:00,4.3,,0.204,,1.5,,8.3,,32.6,,51,,-0.3,,49,
11-Apr-2024 12:00,5.2,,0.209,,1.3,,8.1,,34.9,,47,,3.3,,46.2,
11-Apr-2024 13:00,6.1,,0.187,,1.3,,6.4,E,39.9,,26,,3.3,,40.6,
11-Apr-2024 14:00,6.3,,0.161,,0.2,,0,,45.8,,40,,0.3,,39.3,
11-Apr-2024 15:00,5.7,,0.167,,0,,-0.5,,46.3,,22,,0.6,,40.1,
11-Apr-2024 16:00,5.6,,0.176,,0.1,,0.1,,44.8,,16,,0.4,,43,
11-Apr-2024 17:00,5.2,,0.167,,0,,0.1,E,45.1,,12,,-0.9,,44.9,
11-Apr-2024 18:00,4.4,,0.192,,0,,1.4,E,43.6,,16,,-0.8,,45.5,
11-Apr-2024 19:00,4.1,,0.262,,0.3,,8,,35.7,,61,,2.2,,47.6,
11-Apr-2024 20:00,3.4,,0.31,,0.2,,12.8,,27.4,,59,,7.7,,53,
11-Apr-2024 21:00,2.9,,0.367,,0.6,,14.8,,25.5,,46,,6.9,,53.5,
11-Apr-2024 22:00,2.5,,0.258,,,IE,,IE,34,,8,,3.1,,50.9,
11-Apr-2024 23:00,2.6,,0.202,,,IE,,IE,37.7,,6,,1.3,,47,
12-Apr-2024 00:00,2.1,,0.159,,0,,-0.6,E,41.9,,8,,0.7,,53.6,
12-Apr-2024 01:00,1.5,,0.162,,0,,1.2,E,39.7,,7,,-1.3,,57.9,
12-Apr-2024 02:00,1.1,,0.163,,0,E,3.2,,36.8,,8,,0.6,,60.1,
12-Apr-2024 03:00,0.8,,0.164,,0,,4.3,,35.8,,11,,0.1,,60.2,
12-Apr-2024 04:00,0.4,,0.19,,0.4,,10.1,,28.5,,16,,-2,,63.7,
12-Apr-2024 05:00,-0.1,,0.245,,0.4,,10.1,,29.6,,12,,0.1,,73.4,
12-Apr-2024 06:00,-0.6,,0.241,,0.5,,6,,37.5,,6,,0.3,,93.5,
12-Apr-2024 07:00,-0.5,,0.303,,1.6,,12,,31.5,,3,,-1,,94.5,
12-Apr-2024 08:00,0,,0.261,,1.4,,7.7,,34.8,,4,,5.6,,90.3,
12-Apr-2024 09:00,0.9,,0.265,,1.3,,5.8,,37.6,,3,,5.4,,83.7,
12-Apr-2024 10:00,2.5,,0.231,,1.3,,3.7,,41.8,,6,,1.8,,67.6,
12-Apr-2024 11:00,3.2,,0.229,,0.8,,2.3,,43,,7,,1.5,,59.1,
12-Apr-2024 12:00,3.8,,0.213,,0.3,,0.2,,42.5,,12,,1.7,,50.8,
12-Apr-2024 13:00,2.7,,0.222,,0.8,,2.7,E,42.4,,8,,0.5,,70.7,
12-Apr-2024 14:00,2.1,,0.259,,1,,3.9,,41,,6,,3.4,,76.5,
12-Apr-2024 15:00,2.7,,0.219,,0.3,,0.5,,44,,7,,0.9,,68.9,
12-Apr-2024 16:00,2.3,,0.232,,0.4,,1.5,,43.2,,13,,-2.1,,70.7,
12-Apr-2024 17:00,2.3,,0.224,,0.2,,0.1,,43.5,,11,,0.2,,72.5,
12-Apr-2024 18:00,2.2,,0.223,,0,,0.8,,42,,10,,1,,74.2,
12-Apr-2024 19:00,1.8,,0.211,,0.1,,1.7,,40,,10,,2.2,,77.6,
12-Apr-2024 20:00,1.4,,0.246,,0.1,E,3.5,,37,,14,,1.1,,79.9,
12-Apr-2024 21:00,1,,0.223,,0,,1.3,,38.8,,8,,1.5,,81.8,
12-Apr-2024 22:00,0.7,,0.224,,0,,1.1,,39.2,,4,,2.6,,82.1,
12-Apr-2024 23:00,0.4,,0.199,,-0.1,,-0.5,,40.7,,3,,-1.5,,78.7,
13-Apr-2024 00:00,-0.2,,0.193,,0,,-0.9,,39.7,,1,,-0.9,,74,
13-Apr-2024 01:00,-1.1,,0.181,,-0.1,,-1,,38.6,,-1,,1,,70.8,
13-Apr-2024 02:00,-2.2,,0.179,,0,,-0.4,,35.5,,-1,,-0.4,,72.2,
13-Apr-2024 03:00,-3.1,,0.176,,0,,-0.4,,33.2,,1,,-1.4,,73.8,
13-Apr-2024 04:00,-3.7,,0.176,,0,,0.1,E,30.7,,3,,-1.5,,75.1,
13-Apr-2024 05:00,-4.2,,0.159,,0,,-0.2,,30.9,,3,,1,,72.7,
13-Apr-2024 06:00,-4.5,,0.146,,0.1,,-0.1,,31.1,,3,,1.6,,71.1,
13-Apr-2024 07:00,-4.4,,0.152,,0,E,-1,,32.9,,4,,0.4,,67.2,
13-Apr-2024 08:00,-4.2,,0.147,,0.2,,-0.8,,33,,5,,0.5,,63.3,
13-Apr-2024 09:00,-4,,0.134,,0.2,,-0.9,,32.9,,4,,0,,62,
13-Apr-2024 10:00,-3.3,,0.136,,0.2,E,-0.9,,33.1,,4,,-1.9,,58.2,
13-Apr-2024 11:00,-2.8,,0.159,,0.4,,-0.3,E,32.9,,6,,-2.5,,57.3,
13-Apr-2024 12:00,-2.1,,0.149,,0.2,,-0.8,,32.5,,9,,-0.1,,56.4,
13-Apr-2024 13:00,-1.9,,0.146,,0.1,,-0.9,,36.5,,6,,2.5,,55.8,
13-Apr-2024 14:00,-1.5,,0.144,,0.2,,-0.9,E,35.4,,6,,3.8,,55.9,
13-Apr-2024 15:00,-1.3,,0.158,,0.2,,-0.3,,36,,4,,1.6,,55.5,
13-Apr-2024 16:00,-1.6,,0.155,,0.1,,-0.6,,33.1,,6,,0.9,,58.5,
13-Apr-2024 17:00,-1.8,,0.147,,0,,-1,,32.4,,8,,0.8,,60.3,
13-Apr-2024 18:00,-1.9,,0.14,,0,,-1.1,E,32.6,,5,,2,,61.3,
13-Apr-2024 19:00,-2.1,,0.132,,0,,-1,E,34.3,,3,,3.5,,62,
13-Apr-2024 20:00,-2.2,,0.138,,-0.1,,-0.9,,36.2,,2,,1.8,,62.1,
13-Apr-2024 21:00,-2.3,,0.13,,0,,-1.1,E,35.7,,2,,1.1,,65.2,
13-Apr-2024 22:00,-2.8,,0.132,,0,,-0.8,E,35.1,,5,,1.8,,71.1,
13-Apr-2024 23:00,-3.1,,0.139,,-0.1,,-0.9,E,35.6,,5,,1.4,,70.4,
14-Apr-2024 00:00,-3.4,,0.13,,0,,-0.2,,,IE,7,,0.5,,69.9,
14-Apr-2024 01:00,-4.2,,0.127,,0,,-0.7,,33.6,,7,,0.4,,71.8,
14-Apr-2024 02:00,-4.7,,,IE,0,,-0.8,,32.5,,7,,1.2,,73.3,
14-Apr-2024 03:00,-4.9,,0.127,,,IE,,IE,32.6,,6,,4.3,,73.5,
14-Apr-2024 04:00,-5.3,,0.114,,0,,0,,32.8,,2,,3.7,,74.3,
14-Apr-2024 05:00,-5.5,,0.117,,0,,0.7,,32.8,,3,,2.9,,74.2,
14-Apr-2024 06:00,-5.2,,0.116,,0.1,,0.4,,36.4,,6,,0.1,,69.1,
14-Apr-2024 07:00,-4.8,,0.127,,0,,-0.7,,40.6,,4,,-1.3,,66.9,
14-Apr-2024 08:00,-4.3,,0.125,,0,,-0.8,E,41.9,,5,,0.4,,65.5,
14-Apr-2024 09:00,-3.6,,0.126,,0.1,,-0.8,E,43.4,,9,,2.8,,61.8,
14-Apr-2024 10:00,-2.7,,0.124,,0,,-1.1,,44.6,,7,,1.8,,57.9,
14-Apr-2024 11:00,-2.6,,0.121,,0,,-0.9,,44.6,,11,,-0.2,,59.8,
14-Apr-2024 12:00,-2.3,,0.128,,0,,-1.2,,44.5,,8,,1.2,,59.4,
14-Apr-2024 13:00,-1.9,,0.125,,0,,-1.1,,44.6,,9,,3.3,,56.6,
14-Apr-2024 14:00,-1.7,,0.131,,0,,-0.9,,44.3,,7,,3.8,,58.2,
14-Apr-2024 15:00,-1.3,,0.135,,0,,-1,E,44.4,,5,,2.3,,56.5,
14-Apr-2024 16:00,-1,,0.132,,0,,-0.9,,44.7,,5,,-0.1,,55.7,
14-Apr-2024 17:00,-0.8,,0.14,,0,,-0.4,,44.4,,6,,-1.3,,55.3,
14-Apr-2024 18:00,-0.7,,0.134,,0,,-1.1,,45.9,,4,,0.6,,54.2,
14-Apr-2024 19:00,-1.1,,0.134,,0,E,0,E,44.7,,6,,2.1,,56.1,
14-Apr-2024 20:00,-1.5,,0.177,,0,,4.9,,38.3,,18,,4.6,,58.2,
14-Apr-2024 21:00,-1.9,,0.248,,0.2,,9.7,,29.7,,67,,6.5,,63.9,
14-Apr-2024 22:00,-2.4,,0.333,,0.3,,14.6,,23.7,,41,,9.1,,66.8,
14-Apr-2024 23:00,-2.7,,0.187,,0,,5.1,,33.9,,19,,6.9,,66.6,
15-Apr-2024 00:00,-2.8,,0.16,,0,,2.3,,36.9,,13,,4.1,,66.6,
15-Apr-2024 01:00,-2.9,,0.138,,0,,1.7,,36.8,,7,,3.3,,66.8,
15-Apr-2024 02:00,-3.3,,0.141,,-0.1,,0.7,,35.8,,5,,4.9,,68.2,
15-Apr-2024 03:00,-3.6,,0.141,,-0.1,,1.3,,34.9,,7,,3.7,,68.2,
15-Apr-2024 04:00,-4,,0.14,,-0.1,,0.7,E,35.4,,6,,2.5,,68.5,
15-Apr-2024 05:00,-4.3,,0.148,,-0.1,,0.9,E,33.6,,22,,3.6,,70.7,
15-Apr-2024 06:00,-4.6,,0.164,,1.5,,9.1,E,28.3,,28,,4.1,,70.1,
15-Apr-2024 07:00,-4.7,,0.149,,0.5,E,3.2,E,32.6,,20,,2.8,,67.8,
15-Apr-2024 08:00,-3.8,E,0.132,E,1.3,E,3.8,E,34.7,E,16,,2.3,,64.5,E
15-Apr-2024 09:00,-2.4,E,0.144,E,4,E,10.4,E,32.4,E,8,,3,,59.4,E
15-Apr-2024 10:00,-1.1,,0.131,,1.4,,3.4,,38,,9,,3.2,,55.6,
15-Apr-2024 11:00,0.3,,0.132,,1.5,,3.9,,40.2,,10,,1.5,,51.1,
15-Apr-2024 12:00,1.6,,0.132,,1.4,,3.5,,41.5,,8,,2.8,,46.1,
15-Apr-2024 13:00,2.7,,0.146,,1.6,,5,,41.3,,11,,1.4,,43,
15-Apr-2024 14:00,3.8,,0.135,,1.2,,3.8,,42.6,,17,,-0.7,,40.8,
15-Apr-2024 15:00,5.1,,0.152,,1.2,,4.3,,42.4,,12,,-0.2,,36.8,
15-Apr-2024 16:00,6,,0.183,,0.9,,4.3,,42,,24,,-0.8,,34.4,
15-Apr-2024 17:00,6.9,,0.132,,0.5,,2.7,,42.9,,10,,-0.8,,32.6,
15-Apr-2024 18:00,7.5,,0.143,,0.3,,3.1,,42.4,,10,,0.3,,31,
15-Apr-2024 19:00,7.4,,0.166,,0.1,,3.6,,40.3,,21,,1.6,,32.7,
15-Apr-2024 20:00,6,,0.291,,0.5,,15.9,,26.9,,76,,4.3,,38.9,
15-Apr-2024 21:00,4.9,,0.143,,-0.1,,0.8,,42.4,,13,,2,,36.3,
15-Apr-2024 22:00,4,,0.135,,-0.1,,-0.2,,43.2,,10,,0.2,,38.7,
15-Apr-2024 23:00,3.3,,0.133,,-0.1,,-0.4,,43,,6,,2.5,,40.7,
16-Apr-2024 00:00,1.1,,0.179,,2.9,,16.9,,25.2,,12,,2,,53.6,
16-Apr-2024 01:00,-1.7,,0.207,,2.7,,25.1,,10.4,,22,,10.3,,67.7,
16-Apr-2024 02:00,-2.2,,0.188,,1.9,,20.1,,15.9,,16,,6.7,,67.3,
16-Apr-2024 03:00,-2.5,,0.165,,2.6,,20.6,,17.1,,8,,4.6,,67.1,
16-Apr-2024 04:00,-3.4,,0.202,,1,,18.7,,14.5,,18,,3,,72.3,
16-Apr-2024 05:00,-4.2,,0.27,,12.4,,36.2,,10,,54,,2.4,,73.2,
16-Apr-2024 06:00,-3.4,,0.252,,14,,37,,12.1,,82,,5,,69.4,
16-Apr-2024 07:00,-1.9,,0.261,,8.1,,26.8,,17.3,,81,,11.4,,64.6,
16-Apr-2024 08:00,0.3,,0.251,,4.3,,14.5,,27.6,,49,,8.9,,55.8,
16-Apr-2024 09:00,2.2,,0.244,,12,,30.3,,23.5,,83,,7.2,,51.1,
16-Apr-2024 10:00,4.2,,0.185,,2.4,,8.8,,37.8,,40,,4.9,,40.7,
16-Apr-2024 11:00,5.8,,0.195,,2.3,,8.1,,40.8,,44,,2.9,,36.8,
16-Apr-2024 12:00,7.1,,0.147,,0.6,,1.8,,47.4,,15,,2,,33.1,
16-Apr-2024 13:00,7.6,,0.148,,0.3,,0.9,,48.9,,22,,3.1,,31.8,
16-Apr-2024 14:00,8.1,,0.143,,0.2,,0,,49.3,,21,,2.1,,30.9,
16-Apr-2024 15:00,8.3,,0.14,,0.1,,-0.3,,49.1,,11,,-0.5,,30.9,
16-Apr-2024 16:00,8.6,,0.214,,0.3,,0.6,,48,,12,,-0.7,,30.2,
16-Apr-2024 17:00,8.5,,0.159,,0.2,,1.9,,45.9,,28,,-0.8,,31.6,
16-Apr-2024 18:00,8.3,,0.164,,0.1,,2.9,,44.3,,27,,-0.5,,33.3,
16-Apr-2024 19:00,7.8,,0.174,,0,,4.6,,41.1,,25,,3.5,,34.8,
16-Apr-2024 20:00,5.9,,0.21,,1.4,,19.7,,27,,36,,2.6,,41.2,
16-Apr-2024 21:00,3.4,,0.312,,0.8,,19.2,,22.3,,40,,5.7,,50.8,
16-Apr-2024 22:00,2.3,,0.192,,1,,16.1,,25.6,,15,,2.4,,56.2,
16-Apr-2024 23:00,0.9,,0.174,,0.4,,11.9,,25.9,,21,,1.9,,59.7,
17-Apr-2024 00:00,0.1,,0.209,,2.5,,29.8,,,IE,24,,6.7,,66.9,
17-Apr-2024 01:00,-0.6,,0.257,,3.7,,26.4,,7.1,,34,,6.2,,72.8,
17-Apr-2024 02:00,-1.2,,,IE,6.7,,28.9,,10.1,,59,,7.6,,72.7,
17-Apr-2024 03:00,-1.8,,0.183,,,IE,,IE,15.7,,19,,6.1,,74.5,
17-Apr-2024 04:00,-1.7,,0.184,,1.7,,14.2,,17.9,,19,,3.4,,73,
17-Apr-2024 05:00,-2.7,,0.242,,10.7,,28.4,,14.3,,38,,4,,75.1,
17-Apr-2024 06:00,-2.9,,0.28,,11.4,,31.3,,10.6,,75,,6.3,,76,
17-Apr-2024 07:00,-1.3,,0.261,,13.9,,35,,14,,87,,7.5,,68.7,
17-Apr-2024 08:00,2.1,,0.247,,24.8,,52.2,,16.7,,71,,16.8,,54.8,
17-Apr-2024 09:00,6.1,,0.251,,7.1,,24.7,,27.5,,76,,9.6,,38.1,
17-Apr-2024 10:00,8.7,,0.14,,0.7,,2.8,,45.8,,35,,5.5,,27.7,
17-Apr-2024 11:00,10,,0.163,,0.3,,0.6,,49.7,,43,,0.9,,23.5,
17-Apr-2024 12:00,10.8,,0.143,,0.1,,0.4,,50,,27,,0.1,,21.5,
17-Apr-2024 13:00,11.8,,0.152,,0.7,,3.3,,47.7,,26,,-0.2,,20.2,
17-Apr-2024 14:00,12.1,,0.175,,0.3,,2.9,,46.5,,34,,1.1,,20.5,
17-Apr-2024 15:00,12.6,,0.175,,1.5,,9.7,,40.7,,28,,0.8,,19.4,
17-Apr-2024 16:00,12.3,,0.215,,2.1,,14.9,,35.7,,63,,4.1,,22.2,
17-Apr-2024 17:00,12.3,,0.268,,1.1,,14.2,,34.4,,120,,3.6,,21.7,
17-Apr-2024 18:00,11.8,,0.196,,0.3,,7,,41.9,,65,,3.2,,20.4,
17-Apr-2024 19:00,11.1,,0.239,,0.9,,14.9,,33.7,,58,,5.9,,23.3,
17-Apr-2024 20:00,9.9,,0.281,,0.4,,13.6,,34.2,,67,,3.5,,25.9,
17-Apr-2024 21:00,9.5,,0.198,,0.1,,7.8,,40.5,,101,,6,,26,
17-Apr-2024 22:00,9.1,,0.163,,0,,5.2,,41.4,,78,,8.4,,28.7,
17-Apr-2024 23:00,6.9,,0.252,,5.4,,43.9,,5.7,,80,,8,,42.4,
18-Apr-2024 00:00,6,,0.234,,4.6,,32.2,,12.3,,53,,6.2,,45.1,
18-Apr-2024 01:00,5.6,,0.198,,2.7,,32.3,,10.2,,45,,9.1,,48.9,
18-Apr-2024 02:00,4.6,,0.216,,9.3,,45.4,,4.3,,38,,9.4,,52.3,
18-Apr-2024 03:00,4.6,,0.189,,1.9,,23.7,,10.8,,44,,8.3,,56.1,
18-Apr-2024 04:00,6.4,,0.2,,3.8,,23.1,,23,,49,,6.7,,46.3,
18-Apr-2024 05:00,6.8,,0.312,,5.3,,32.4,,14.8,,90,,7.5,,44.4,
18-Apr-2024 06:00,6.5,,0.422,,5.9,,34.7,,13.5,,118,,8.7,,43.4,
18-Apr-2024 07:00,6.4,,0.537,,40.6,,79.9,,4.5,,181,,18.4,,48.1,
18-Apr-2024 08:00,7.8,,0.43,,41.7,,81.1,,7,,157,,15.3,,39.7,
18-Apr-2024 09:00,10,,0.193,,3.8,,17.6,,33.5,,70,,0.3,,25.8,
18-Apr-2024 10:00,11.2,,0.21,,4.3,,19.8,,34.1,,93,,5.8,,23.1,
18-Apr-2024 11:00,12.6,,0.177,,0.4,,2,,46.8,,76,,4.2,,19.9,
18-Apr-2024 12:00,13.4,,0.169,,0.4,,1.3,,47.6,,60,,4.6,,18.9,
18-Apr-2024 13:00,13.8,,0.168,,0.3,,2.1,,46.4,,53,,2.5,,18.6,
18-Apr-2024 14:00,14.2,,0.172,,0.2,,1.5,,46.4,,91,,1.2,,17.8,
18-Apr-2024 15:00,14.3,,0.195,,0.2,,2.5,,44.6,,65,,4,,17.8,
18-Apr-2024 16:00,13.9,,0.219,,1.1,,10.9,,36.1,,136,,10.8,,20,
18-Apr-2024 17:00,13.2,,0.294,,3.1,,20.1,,28.7,,104,,11.3,,23.5,
18-Apr-2024 18:00,12.4,,0.238,,2.5,,16.3,,31.3,,52,,10.9,,25.7,
18-Apr-2024 19:00,12,,0.214,,3.6,,24.6,,24,,60,,6.8,,27.5,
18-Apr-2024 20:00,9.7,,0.203,,0.6,,11.3,,29,,33,,4.6,,35,
18-Apr-2024 21:00,7.4,,0.198,,1,,15.1,,25.2,,27,,5.5,,41.7,
18-Apr-2024 22:00,5.3,,0.207,,2.3,,18.5,,19.7,,57,,3.8,,49.3,
18-Apr-2024 23:00,4.2,,0.271,,0.8,,16.7,,16.6,,45,,9.3,,54.5,
19-Apr-2024 00:00,1.9,,0.217,,1.7,,15.6,,14.5,,30,,11,,63.5,
19-Apr-2024 01:00,0.7,,0.178,,5.5,,24.7,,11.7,,46,,9.4,,67.4,
19-Apr-2024 02:00,-0.6,,0.18,,3.2,,18.5,,10.6,,32,,6.7,,72.9,
19-Apr-2024 03:00,-0.4,,0.168,,7,,22,,14.2,,26,,6.3,,70.6,
19-Apr-2024 04:00,-1,,0.239,,2,,15.6,,10.6,,29,,5.3,,75.6,
19-Apr-2024 05:00,-2,,0.263,,10.5,,28.7,,6.2,,43,,6.7,,77.9,
19-Apr-2024 06:00,-0.7,,0.266,,27,,52.1,,7.7,,66,,6.3,,69.7,
19-Apr-2024 07:00,1.9,,0.326,,20.1,,44.5,,11.8,,113,,6.5,,58.8,
19-Apr-2024 08:00,5.2,,0.298,,8.6,,22.4,,27.8,,68,,9.1,,43.9,
19-Apr-2024 09:00,7.5,,0.209,,3.5,,11.6,,36.4,,48,,9.5,,37.4,
19-Apr-2024 10:00,10.3,,0.233,,3.5,,13.1,,37.8,,47,,7.1,,30,
19-Apr-2024 11:00,12.7,,0.163,,0.4,,1.7,,50.7,,19,,3.1,,20.8,
19-Apr-2024 12:00,13.7,,0.176,,0.5,,2.3,,51.3,,19,,-1.5,,18.4,
19-Apr-2024 13:00,14.6,,0.159,,0.4,,1.8,,52.6,,21,,-1.6,,17.1,
19-Apr-2024 14:00,15.1,,0.161,,0.5,,3.4,,52.9,,27,,1.7,,16.5,
19-Apr-2024 15:00,15.9,,0.158,,0.4,,2.7,,54.3,,16,,0.8,,13.7,
19-Apr-2024 16:00,16.3,,0.171,,0.6,,4,,53.4,,21,,-0.9,,13.8,
19-Apr-2024 17:00,17,,0.157,,0.2,,1.2,,56,,26,,-1.1,,12.6,
19-Apr-2024 18:00,17.3,,0.179,,0.2,,1.6,,54.9,,17,,-0.5,,12.3,
19-Apr-2024 19:00,16.5,,0.252,,0.9,,13.8,,42.6,,57,,4.9,,15.3,
19-Apr-2024 20:00,14.7,,0.397,,2.6,,21.1,,33.2,,52,,5.8,,19.8,
19-Apr-2024 21:00,8.9,,0.388,,0.9,,15.7,,24.5,,83,,9.7,,35.6,
19-Apr-2024 22:00,9.4,,0.293,,0.3,,11,,28.7,,39,,7.8,,37.4,
19-Apr-2024 23:00,4.6,,0.288,,0.3,,10.7,,20.9,,43,,6.8,,51,
20-Apr-2024 00:00,2.2,,0.181,,0.3,,10.8,,,IE,59,,6.8,,58.3,
20-Apr-2024 01:00,0.6,,0.203,,0.8,,11.6,,15.8,,46,,5.8,,64.1,
20-Apr-2024 02:00,-0.3,,,IE,0.2,,5.8,,20.1,,17,,5.9,,68.6,
20-Apr-2024 03:00,-0.7,,0.16,,,IE,,IE,17.4,,17,,6.6,,70.5,
20-Apr-2024 04:00,-1.5,,0.164,,0.7,,10.4,,16.8,,16,,5.3,,72.7,
20-Apr-2024 05:00,-1.6,,0.175,,0.8,,10.3,,19.8,,16,,2.5,,72,
20-Apr-2024 06:00,-1,,0.181,,5.7,,18.7,,17.9,,24,,3.7,,69.7,
20-Apr-2024 07:00,1.6,,0.211,,2.9,,11.2,,25.9,,41,,5.2,,58.6,
20-Apr-2024 08:00,4.6,,0.174,,1.9,,7.5,,35.1,,17,,3.2,,45.3,
20-Apr-2024 09:00,6.4,,0.175,,2.5,,9.1,,36.5,,26,,3,,40.8,
20-Apr-2024 10:00,8.7,,0.174,,2.3,,8.7,,39.8,,23,,3,,34.4,
20-Apr-2024 11:00,11.1,,0.162,,1.3,,5,,44.5,,21,,0.4,,29.4,
20-Apr-2024 12:00,13.4,,0.163,,0.7,,2.4,,48.3,,17,,0.1,,25.3,
20-Apr-2024 13:00,15.1,,0.163,,0.1,,0.8,,52.6,,9,,1.8,,19.7,
20-Apr-2024 14:00,15.6,,0.151,,0,,-0.6,,54.9,,6,,1.6,,16.9,
20-Apr-2024 15:00,16,,0.147,,0,,-0.1,,54.9,,8,,1.7,,16.7,
20-Apr-2024 16:00,16.2,,0.151,,0.4,,1.2,,53.9,,10,,-0.4,,16.2,
20-Apr-2024 17:00,16.2,,0.153,,0.2,,1.1,,54.5,,6,,-0.5,,15.9,
20-Apr-2024 18:00,16,,0.163,,0,,0.2,,54.9,,6,,1.1,,16.8,
20-Apr-2024 19:00,15.1,,0.161,,0,,2.8,,50.9,,14,,-0.2,,20.1,
20-Apr-2024 20:00,13,,0.225,,0,,4.2,,45.8,,29,,3,,26,
20-Apr-2024 21:00,10.4,,0.207,,0.1,,10.9,,36.8,,21,,8.1,,32.5,
20-Apr-2024 22:00,7.8,,0.205,,0.2,,11.9,,31,,16,,7.7,,40.8,
20-Apr-2024 23:00,6.1,,0.223,,0.4,,13.8,,23.4,,33,,7.8,,49,
21-Apr-2024 00:00,3.8,,0.256,,4.5,,30.2,,8.2,,165,,13.9,,58.2,
21-Apr-2024 01:00,2.3,,0.363,,1.3,,19.8,,7,,124,,18.9,,66.2,
21-Apr-2024 02:00,0.3,,0.29,,1,,15.8,,9.3,,28,,7.4,,71.2,
21-Apr-2024 03:00,-1.2,,0.2,,0.3,,6.3,,16.6,,16,,8,,75.6,
21-Apr-2024 04:00,-1.1,,0.229,,4.5,,22.9,,6.5,,20,,10.4,,75.9,
21-Apr-2024 05:00,-1.7,,0.238,,2.5,,16,,9.4,,24,,7.8,,78.1,
21-Apr-2024 06:00,-1.5,,0.176,,2.2,,8.1,,18.2,,12,,4.4,,75.7,
21-Apr-2024 07:00,1,,0.185,,4.6,,13,,22.9,,16,,3.1,,65.2,
21-Apr-2024 08:00,3.3,,0.168,,1.1,,4,,33.5,,13,,1.3,,54,
21-Apr-2024 09:00,5.4,,0.137,,0.1,,-0.2,,40.9,,12,,-0.6,,43.6,
21-Apr-2024 10:00,7.3,,0.139,,1.6,,5.5,,38.1,,8,,-0.5,,39.6,
21-Apr-2024 11:00,8.8,,0.136,,1.3,,4.3,,40.3,,9,,-0.6,,36.5,
21-Apr-2024 12:00,10.3,,0.154,,0.4,,1,,46.5,,11,,1.7,,32.6,
21-Apr-2024 13:00,11.6,,0.158,,0.2,,0.8,,46.4,,10,,2.5,,30.6,
21-Apr-2024 14:00,12.8,,0.152,,0.1,,0.6,,47.8,,8,,1.7,,28.6,
21-Apr-2024 15:00,14,,0.147,,0.1,,0,,48.4,,6,,2.3,,25.1,
21-Apr-2024 16:00,14.5,,0.146,,0.3,,0.6,,50.1,,14,,1.9,,21.9,
21-Apr-2024 17:00,14.5,,0.158,,0,,0.2,,52.5,,10,,-1,,18.2,
21-Apr-2024 18:00,14.3,,0.161,,0,,0.1,,51.4,,8,,-0.3,,19.8,
21-Apr-2024 19:00,13.4,,0.167,,0,,0.4,,49.4,,13,,2.5,,23.2,
21-Apr-2024 20:00,11.4,,0.169,,0,,0.5,,46.9,,13,,4.6,,28.7,
21-Apr-2024 21:00,9.4,,0.163,,0,,1.3,E,45,,21,,11.4,,33.2,
21-Apr-2024 22:00,7.7,,0.134,,-0.1,,0,,43.4,,7,,5.5,,37.8,
21-Apr-2024 23:00,4,,0.203,,0.1,,8.7,,21.1,,39,,5.7,,55,
22-Apr-2024 00:00,2.9,,0.198,,0.4,,13.1,,15.4,,29,,6.8,,60.3,
22-Apr-2024 01:00,0.7,,0.229,,0.5,,11.1,,11.5,,16,,7.5,,69,
22-Apr-2024 02:00,-0.2,,0.165,,0.3,,9.3,,13.4,,39,,8,,72.8,
22-Apr-2024 03:00,-0.6,,0.176,,3.8,,21.5,,7.1,,17,,6.3,,75.4,
22-Apr-2024 04:00,-1.3,,0.199,,1.9,,19,,6,,25,,3.9,,77.2,
22-Apr-2024 05:00,-1.1,,0.242,,11.9,,32.6,,4.6,,63,,7,,75.1,
22-Apr-2024 06:00,-0.1,,0.315,,14.4,,33.4,,10.4,,98,,7.4,,70.5,
