,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden,Garden
,CO_PPM,CO_PPM,CO_PPM,CO_TShl,CO_TShl,CO_TShl,PM10_BP,PM10_BP,PM10_BP,PM10_RH,PM10_RH,PM10_RH,PM10_Tamb,PM10_Tamb,PM10_Tamb,PM10_TShl,PM10_TShl,PM10_TShl,PM10L,PM10L,PM10L,PM10L_Qt,PM10L_Qt,PM10L_Qt,PM10S,PM10S,PM10S,PM10S_Qt,PM10S_Qt,PM10S_Qt,PM25_BP,PM25_BP,PM25_BP,PM25_Qt,PM25_Qt,PM25_Qt,PM25_RH,PM25_RH,PM25_RH,PM25_Tamb,PM25_Tamb,PM25_Tamb,PM25_TShl,PM25_TShl,PM25_TShl,PM25L,PM25L,PM25L,PMc,PMc,PMc,WD_S_15m,WD_S_15m,WD_S_15m,WD_V_15m,WD_V_15m,WD_V_15m,WS_S_15m,WS_S_15m,WS_S_15m,WS_V_15m,WS_V_15m,WS_V_15m
,PPM,PPM,PPM,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,% RH,% RH,% RH,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,ug/m3 L,ug/m3 L,ug/m3 L,L/M,L/M,L/M,ug/m3 S,ug/m3 S,ug/m3 S,L/M,L/M,L/M,MM/HG,MM/HG,MM/HG,L/M,L/M,L/M,% RH,% RH,% RH,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,ug/m3 L,DEG,DEG,DEG,DEG,DEG,DEG,M/SEC,M/SEC,M/SEC,M/SEC,M/SEC,M/SEC
Date,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes,Value,Flags,Qualifier Codes
16-Apr-2024 00:00,,IE,,23.6,,,767,,,15,,,3.2,,,27.3,,,11,,,0.701,,,10,,,0.764,,,767,,,0.701,,,11,,,3.2,,,32.1,,,9,,,2,,,,,,,,,,,,,,
16-Apr-2024 01:00,0.337,,,23.4,,,767,,,15,,,0.5,,,27.4,,,28,,,0.701,,,25,,,0.772,,,767,,,0.701,,,12,,,0.5,,,32.1,,,6,,,22,,,,,,,,,,,,,,
16-Apr-2024 02:00,0.329,,,23.2,,,767,,,15,,,-0.7,,,27.4,,,20,,,0.701,,,18,,,0.775,,,767,,,0.701,,,12,,,-0.7,,,32.1,,,4,,,16,,,,,,,,,,,,,,
16-Apr-2024 03:00,0.346,,,23,,,767,,,15,,,-1,,,27.3,,,14,,,0.701,,,12,,,0.777,,,768,,,0.701,,,12,,,-1,,,32.1,,,2,,,11,,,,,,,,,,,,,,
16-Apr-2024 04:00,0.344,,,22.9,,,767,,,15,,,-1.9,,,27.3,,,13,,,0.702,,,11,,,0.779,,,768,,,0.701,,,12,,,-2,,,32,,,1,,,12,,,,,,,,,,,,,,
16-Apr-2024 05:00,0.506,,,22.7,,,767,,,15,,,-2.1,,,27.3,,,41,,,0.701,,,36,,,0.781,,,768,,,0.701,,,12,,,-2.2,,,32,,,4,,,37,,,,,,,,,,,,,,
16-Apr-2024 06:00,0.982,,,22.6,,,767,,,15,,,-1.6,,,27.3,,,87,,,0.702,,,78,,,0.78,,,768,,,0.701,,,12,,,-1.7,,,32,,,7,,,80,,,,,,,,,,,,,,
16-Apr-2024 07:00,1.099,,,22.6,,,768,,,15,,,1.5,,,27.3,,,166,,,0.701,,,151,,,0.771,,,768,,,0.701,,,11,,,0.9,,,32.2,,,12,,,154,,,,,,,,,,,,,,
16-Apr-2024 08:00,0.47,,,22.6,,,768,,,14,,,4.6,,,27.4,,,71,,,0.701,,,65,,,0.761,,,769,,,0.701,,,11,,,4.2,,,32.3,,,8,,,63,,,,,,,,,,,,,,
16-Apr-2024 09:00,0.225,,,22.6,,,768,,,13,,,6,,,28,,,33,,,0.701,,,30,,,0.758,,,769,,,0.701,,,11,,,6,,,32.1,,,5,,,28,,,,,,,,,,,,,,
16-Apr-2024 10:00,0.184,,,22.5,,,768,,,13,,,7.1,,,29.1,,,19,,,0.7,,,17,,,0.754,,,769,,,0.701,,,10,,,7,,,32.3,,,3,,,16,,,,,,,,,,,,,,
16-Apr-2024 11:00,0.167,,,22.5,,,768,,,12,,,7,,,29.2,,,21,,,0.701,,,19,,,0.755,,,769,,,0.701,,,10,,,7,,,32.1,,,1,,,20,,,,,,,,,,,,,,
16-Apr-2024 12:00,0.169,E,,22.6,,,768,,,12,,,8.9,,,29.8,,,18,,,0.7,,,17,,,0.749,,,769,,,0.701,,,10,,,8.7,,,32.7,,,1,,,18,,,,,,,,,,,,,,
16-Apr-2024 13:00,,IE,,23.8,,,768,,,11,,,9.6,,,30.7,,,12,,,0.701,,,11,,,0.748,,,769,,,0.701,,,9,,,9.6,,,33.1,,,-1,,,13,,,,,,,,,,,,,,
16-Apr-2024 14:00,0.15,,,24,,,768,,,11,,,9.2,,,30.6,,,13,,,0.701,,,12,,,0.749,,,768,,,0.702,,,9,,,9.2,,,32.5,,,-3,,,15,,,,,,,,,,,,,,
16-Apr-2024 15:00,0.157,,,24.1,,,767,,,11,,,9.3,,,30.6,,,8,,,0.701,,,8,,,0.748,,,768,,,0.701,,,9,,,9.5,,,32.6,,,-2,,,10,,,,,,,,,,,,,,
16-Apr-2024 16:00,0.153,,,24.3,,,767,,,11,,,9.2,,,30.6,,,8,,,0.7,,,7,,,0.748,,,768,,,0.701,,,9,,,9.4,,,32.4,,,1,,,7,,,,,,,,,,,,,,
16-Apr-2024 17:00,0.155,,,24.5,,,767,,,11,,,8.9,,,30.3,,,4,,,0.701,,,4,,,0.749,,,768,,,0.702,,,9,,,9.3,,,32.4,,,-2,,,6,,,,,,,,,,,,,,
16-Apr-2024 18:00,0.153,,,24.6,,,767,,,11,,,8.2,,,29.7,,,3,,,0.701,,,2,,,0.751,,,768,,,0.702,,,10,,,8.4,,,32.3,,,0,,,2,,,,,,,,,,,,,,
16-Apr-2024 19:00,0.195,,,24.7,,,767,,,12,,,6.7,,,27.8,,,22,,,0.702,,,20,,,0.755,,,767,,,0.701,,,10,,,6.7,,,32.4,,,1,,,21,,,,,,,,,,,,,,
16-Apr-2024 20:00,0.22,,,24.7,,,767,,,13,,,5.3,,,27.4,,,17,,,0.702,,,15,,,0.76,,,767,,,0.701,,,10,,,5.3,,,32.4,,,0,,,16,,,,,,,,,,,,,,
16-Apr-2024 21:00,0.309,,,24.6,,,767,,,14,,,4.2,,,27.2,,,40,,,0.701,,,36,,,0.762,,,767,,,0.701,,,11,,,4.1,,,32.4,,,1,,,38,,,,,,,,,,,,,,
16-Apr-2024 22:00,0.328,,,24.5,,,767,,,14,,,3.2,,,27.2,,,32,,,0.701,,,29,,,0.764,,,767,,,0.701,,,11,,,3.3,,,32.3,,,4,,,29,,,,,,,,,,,,,,
16-Apr-2024 23:00,0.365,,,24.4,,,766,,,14,,,2.5,,,27.3,,,148,,,0.701,,,135,,,0.766,,,767,,,0.701,,,11,,,2.5,,,32.3,,,13,,,135,,,,,,,,,,,,,,
17-Apr-2024 00:00,,IE,,24.5,,,766,,,15,,,1,,,27.3,,,49,,,0.701,,,44,,,0.771,,,767,,,0.701,,,11,,,0.9,,,32.3,,,9,,,40,,,,,,,,,,,,,,
17-Apr-2024 01:00,0.379,,,24.3,,,766,,,15,,,-0.7,,,27.3,,,30,,,0.701,,,27,,,0.775,,,767,,,0.701,,,12,,,-0.7,,,32.2,,,9,,,20,,,,,,,,,,,,,,
17-Apr-2024 02:00,0.364,,,24.2,,,766,,,15,,,-1.4,,,27.3,,,27,,,0.701,,,24,,,0.776,,,766,,,0.701,,,12,,,-1.4,,,32.2,,,7,,,20,,,,,,,,,,,,,,
17-Apr-2024 03:00,0.399,,,24,,,765,,,16,,,-1.7,,,27.3,,,23,,,0.701,,,20,,,0.777,,,766,,,0.701,,,12,,,-1.7,,,32.2,,,5,,,18,,,,,,,,,,,,,,
17-Apr-2024 04:00,0.437,,,23.9,,,765,,,16,,,-1.4,,,27.2,,,35,,,0.701,,,31,,,0.775,,,765,,,0.701,,,12,,,-1.5,,,32.2,,,5,,,30,,,,,,,,,,,,,,
17-Apr-2024 05:00,0.564,,,23.7,,,764,,,16,,,-1,,,27.3,,,49,,,0.701,,,44,,,0.774,,,765,,,0.701,,,12,,,-1.1,,,32.2,,,8,,,41,,,,,,,,,,,,,,
17-Apr-2024 06:00,1.034,,,23.7,,,764,,,16,,,-0.4,,,27.3,,,77,,,0.701,,,70,,,0.772,,,765,,,0.701,,,12,,,-0.5,,,32.3,,,8,,,69,,,,,,,,,,,,,,
17-Apr-2024 07:00,0.832,,,23.6,,,764,,,16,,,0.9,,,27.3,,,144,,,0.701,,,132,,,0.768,,,765,,,0.701,,,12,,,0.9,,,32.4,,,13,,,132,,,,,,,,,,,,,,
17-Apr-2024 08:00,0.508,,,23.6,,,764,,,17,,,1.3,,,27.3,,,118,,,0.701,,,107,,,0.767,,,765,,,0.701,,,13,,,1.2,,,32.4,,,13,,,105,,,,,,,,,,,,,,
17-Apr-2024 09:00,0.299,,,23.6,,,764,,,16,,,1.4,,,27.2,,,56,,,0.701,,,51,,,0.766,,,765,,,0.701,,,12,,,1.3,,,32.4,,,7,,,48,,,,,,,,,,,,,,
17-Apr-2024 10:00,,IE,,23.8,,,764,,,16,,,1.6,,,27.2,,,69,,,0.701,,,62,,,0.766,,,764,,,0.701,,,12,,,1.5,,,32.4,,,5,,,63,,,,,,,,,,,,,,
17-Apr-2024 11:00,,IE,,24.3,,,764,,,15,,,2,,,27.3,,,98,,,0.701,,,90,,,0.765,,,764,,,0.702,,,12,,,1.9,,,32.4,,,6,,,92,,,,,,,,,,,,,,
17-Apr-2024 12:00,,IE,,24.4,,,763,,,15,,,2.5,,,27.3,,,54,,,0.701,,,49,,,0.763,,,764,,,0.702,,,11,,,2.5,,,32.4,,,5,,,48,,,,,,,,,,,,,,
17-Apr-2024 13:00,,IE,,24.4,,,763,,,15,,,3.1,,,27.2,,,43,,,0.701,,,40,,,0.761,,,764,,,0.701,,,11,,,3,,,32.5,,,5,,,39,,,,,,,,,,,,,,
17-Apr-2024 14:00,,IE,,24,,,763,,,15,,,2.8,,,27.2,,,34,,,0.701,,,31,,,0.761,,,764,,,0.701,,,11,,,2.8,,,32.4,,,3,,,30,,,,,,,,,,,,,,
17-Apr-2024 15:00,0.205,,,23.6,,,763,,,15,,,3.2,,,27.3,,,69,,,0.701,,,63,,,0.76,,,763,,,0.701,,,11,,,3.2,,,32.5,,,5,,,64,,,,,,,,,,,,,,
17-Apr-2024 16:00,0.241,,,23.6,,,763,,,15,,,3.7,,,27.2,,,49,,,0.701,,,45,,,0.759,,,763,,,0.701,,,11,,,3.6,,,32.5,,,6,,,43,,,,,,,,,,,,,,
17-Apr-2024 17:00,0.25,,,23.5,,,762,,,14,,,4.2,,,27.2,,,66,,,0.701,,,60,,,0.758,,,763,,,0.701,,,11,,,4.2,,,32.5,,,6,,,59,,,,,,,,,,,,,,
17-Apr-2024 18:00,0.237,,,23.4,,,762,,,15,,,4.4,,,27.2,,,64,,,0.701,,,59,,,0.757,,,763,,,0.701,,,11,,,4.4,,,32.5,,,5,,,59,,,,,,,,,,,,,,
17-Apr-2024 19:00,0.19,,,23,,,762,,,15,,,4,,,27.3,,,38,,,0.701,,,34,,,0.758,,,763,,,0.701,,,11,,,4,,,32.5,,,2,,,35,,,,,,,,,,,,,,
17-Apr-2024 20:00,0.171,,,23.1,,,762,,,13,,,6.9,,,27.4,,,38,,,0.701,,,36,,,0.75,,,763,,,0.701,,,10,,,6.8,,,32.5,,,2,,,37,,,,,,,,,,,,,,
17-Apr-2024 21:00,0.135,,,23.2,,,763,,,12,,,8.4,,,27.6,,,20,,,0.701,,,18,,,0.745,,,763,,,0.701,,,9,,,8.3,,,32.6,,,3,,,17,,,,,,,,,,,,,,
17-Apr-2024 22:00,0.137,,,23.2,,,763,,,12,,,8.7,,,27.4,,,16,,,0.701,,,15,,,0.746,,,764,,,0.701,,,9,,,8.6,,,32.7,,,3,,,13,,,,,,,,,,,,,,
17-Apr-2024 23:00,0.17,,,23.1,,,763,,,14,,,5.6,,,27.4,,,22,,,0.701,,,21,,,0.755,,,764,,,0.702,,,10,,,5.6,,,32.7,,,3,,,19,,,,,,,,,,,,,,
18-Apr-2024 00:00,,IE,,23.3,,,763,,,15,,,3.9,,,27.4,,,29,,,0.701,,,27,,,0.759,,,764,,,0.701,,,11,,,3.9,,,32.6,,,3,E,2,26,,,,,,,,,,,,,,
18-Apr-2024 01:00,0.138,,,23.1,,,763,,,16,,,3.1,,,27.4,,,14,,,0.701,,,12,,,0.762,,,764,,,0.702,,,12,,,3.1,,,32.5,,,2,E,2,12,,,,,,,,,,,,,,
18-Apr-2024 02:00,0.162,,,23,,,763,,,15,,,3.1,,,27.4,,,11,,,0.701,,,10,,,0.761,,,764,,,0.702,,,12,,,3,,,32.5,,,0,E,2,11,,,,,,,,,,,,,,
18-Apr-2024 03:00,0.174,,,22.9,,,763,,,16,,,2.8,,,27.4,,,14,,,0.701,,,12,,,0.762,,,764,,,0.701,,,12,,,2.8,,,32.5,,,1,E,2,13,,,,,,,,,,,,,,
18-Apr-2024 04:00,0.178,,,22.8,,,763,,,16,,,2,,,27.4,,,17,,,0.701,,,15,,,0.765,,,764,,,0.701,,,12,,,2,,,32.5,,,6,E,2,11,,,,,,,,,,,,,,
18-Apr-2024 05:00,0.244,,,22.7,,,764,,,17,,,2.2,,,27.4,,,41,,,0.701,,,38,,,0.765,,,764,,,0.701,,,12,,,2.1,,,32.5,,,5,E,2,36,,,,,,,,,,,,,,
18-Apr-2024 06:00,0.203,,,22.5,,,764,,,16,,,3.2,,,27.4,,,49,,,0.701,,,45,,,0.762,,,765,,,0.701,,,13,,,3.2,,,32.5,,,4,E,2,46,,,,,,,,,,,,,,
18-Apr-2024 07:00,0.284,,,22.4,,,765,,,15,,,4.4,,,27.2,,,63,,,0.701,,,58,,,0.759,,,765,,,0.702,,,12,,,4.3,,,32.7,,,2,E,2,61,,,,,,,,,,,,,,
18-Apr-2024 08:00,0.349,,,22.5,,,765,,,16,,,4.8,,,27.4,,,93,,,0.7,,,85,,,0.758,,,765,,,0.701,,,12,,,4.7,,,32.7,,,2,E,2,91,,,,,,,,,,,,,,
18-Apr-2024 09:00,0.302,,,22.6,,,765,,,15,,,5.5,,,27.4,,,80,,,0.701,,,74,,,0.757,,,765,,,0.701,,,12,,,5.4,,,32.7,,,4,E,2,77,,,,,,,,,,,,,,
18-Apr-2024 10:00,0.378,,,22.7,,,765,,,15,,,6.3,,,27.5,,,133,,,0.701,,,123,,,0.754,,,766,,,0.701,,,11,,,6.2,,,32.7,,,4,E,2,129,,,,,,,,,,,,,,
18-Apr-2024 11:00,0.248,,,22.6,,,765,,,15,,,6,,,27.5,,,75,,,0.701,,,70,,,0.755,,,766,,,0.701,,,12,,,6,,,32.7,,,6,E,2,69,,,,,,,,,,,,,,
18-Apr-2024 12:00,0.254,,,22.7,,,765,,,15,,,7.4,,,27.9,,,72,,,0.701,,,67,,,0.751,,,766,,,0.701,,,11,,,7.3,,,32.7,,,7,E,2,65,,,,,,,,,,,,,,
18-Apr-2024 13:00,0.256,,,22.9,,,765,,,14,,,7.8,,,28,,,78,,,0.701,,,72,,,0.749,,,765,,,0.701,,,11,,,7.8,,,32.7,,,7,E,2,71,,,,,,,,,,,,,,
18-Apr-2024 14:00,0.258,,,22.9,,,764,,,15,,,7.4,,,27.9,,,77,,,0.701,,,72,,,0.751,,,765,,,0.701,,,11,,,7.4,,,32.7,,,4,E,2,73,,,,,,,,,,,,,,
18-Apr-2024 15:00,0.23,,,23.1,,,764,,,15,,,6.5,,,27.9,,,69,,,0.701,,,64,,,0.753,,,765,,,0.701,,,12,,,6.5,,,32.7,,,2,E,2,66,,,,,,,,,,,,,,
18-Apr-2024 16:00,0.322,,,23.1,,,764,,,15,,,7.6,,,28.4,,,94,,,0.701,,,88,,,0.749,,,765,,,0.701,,,11,,,7.6,,,32.7,,,6,E,2,88,,,,,,,,,,,,,,
18-Apr-2024 17:00,0.398,,,23.3,,,763,,,14,,,7.5,,,28.4,,,102,,,0.701,,,95,,,0.749,,,764,,,0.701,,,11,,,7.5,,,32.7,,,5,E,2,97,,,,,,,,,,,,,,
18-Apr-2024 18:00,0.389,,,23.3,,,763,,,15,,,6.4,,,27.5,,,102,,,0.701,,,95,,,0.753,,,764,,,0.701,,,12,,,6.4,,,32.8,,,5,E,2,97,,,,,,,,,,,,,,
18-Apr-2024 19:00,0.34,,,23.2,,,763,,,15,,,5.9,,,27.5,,,61,,,0.701,,,57,,,0.754,,,764,,,0.701,,,11,,,5.9,,,32.8,,,4,E,2,57,,,,,,,,,,,,,,
18-Apr-2024 20:00,0.329,,,23.2,,,763,,,15,,,5.5,,,27.3,,,49,,,0.701,,,45,,,0.755,,,764,,,0.701,,,11,,,5.4,,,32.8,,,4,E,2,44,,,,,,,,,,,,,,
18-Apr-2024 21:00,0.311,,,23.2,,,763,,,15,,,4.8,,,27.4,,,42,,,0.701,,,39,,,0.757,,,764,,,0.701,,,11,,,4.8,,,32.8,,,4,E,2,38,,,,,,,,,,,,,,
18-Apr-2024 22:00,0.466,,,23.1,,,763,,,16,,,3.9,,,27.3,,,72,,,0.701,,,66,,,0.759,,,764,,,0.701,,,12,,,3.9,,,32.8,,,11,E,2,60,,,,,,,,,,,,,,
18-Apr-2024 23:00,0.459,,,23.1,,,763,,,16,,,3.6,,,27.4,,,52,,,0.701,,,48,,,0.76,,,764,,,0.701,,,12,,,3.6,,,32.8,,,10,E,2,42,,,,,,,,,,,,,,
19-Apr-2024 00:00,,IE,,23.2,,,763,,,16,,,3.7,,,27.4,,,40,,,0.701,,,37,,,0.759,,,763,,,0.701,,,12,,,3.7,,,32.8,E,2,7,E,2,33,,,,,,,,,,,,,,
19-Apr-2024 01:00,0.36,,,23,,,763,,,16,,,3.9,,,27.4,,,32,,,0.701,,,29,,,0.758,,,763,,,0.701,,,12,,,3.8,,,32.8,E,2,5,E,2,27,,,,,,,,,,,,,,
19-Apr-2024 02:00,0.325,,,22.9,,,762,,,16,,,3.4,,,27.4,,,20,,,0.701,,,18,,,0.76,,,763,,,0.701,,,12,,,3.3,,,32.8,E,2,6,E,2,14,,,,,,,,,,,,,,
19-Apr-2024 03:00,,IE,,23.2,,,762,,,17,,,3.2,,,27.4,,,18,,,0.701,,,16,,,0.76,,,763,,,0.701,,,12,,,3.1,,,32.8,E,2,6,E,2,12,,,,,,,,,,,,,,
19-Apr-2024 04:00,,IE,,23.2,,,762,,,16,,,3.1,,,27.4,,,18,,,0.701,,,17,,,0.76,,,763,,,0.701,,,12,,,3,,,32.8,E,2,5,E,2,14,,,,,,,,,,,,,,
19-Apr-2024 05:00,,IE,,22.9,,,762,,,17,,,3,,,27.4,,,22,,,0.701,,,19,,,0.76,,,763,,,0.701,,,13,,,2.9,,,32.8,E,2,4,E,2,18,,,,,,,,,,,,,,
19-Apr-2024 06:00,,IE,,22.9,,,762,,,17,,,2.7,,,27.4,,,41,,,0.701,,,38,,,0.76,,,763,,,0.7,,,13,,,2.7,,,32.9,E,2,4,E,2,38,,,,,,,,,,,,,,
19-Apr-2024 07:00,,IE,,22.8,,,762,,,17,,,2.9,,,27.4,,,77,,,0.701,,,70,,,0.76,,,762,,,0.701,,,13,,,2.8,,,32.9,E,2,7,E,2,69,,,,,,,,,,,,,,
19-Apr-2024 08:00,,IE,,22.8,,,762,,,17,,,3.7,,,27.3,,,89,,,0.701,,,82,,,0.758,,,762,,,0.701,,,13,,,3.6,,,32.9,E,2,7,E,2,82,,,,,,,,,,,,,,
19-Apr-2024 09:00,,IE,,22.8,,,761,,,16,,,4.6,,,27.4,,,65,,,0.701,,,60,,,0.755,,,762,,,0.701,,,12,,,4.5,,,33,E,2,11,E,2,54,,,,,,,,,,,,,,
19-Apr-2024 10:00,,IE,,22.1,,,761,,,15,,,5.4,,,27.4,,,83,,,0.702,,,77,,,0.753,,,762,,,0.7,,,11,,,5.4,,,35.9,E,2,6,E,2,77,,,,,,,,,,,,,,
19-Apr-2024 11:00,,IE,,21.8,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,,,,,,,,,,,,
19-Apr-2024 12:00,,IE,,22,,,761,,,16,,,6.6,,,25.9,,,49,,,0.702,,,46,,,0.749,,,761,,,0.702,,,13,,,6.6,,,31.1,E,2,-5,E,2,55,,,,,,,,,,,,,,
19-Apr-2024 13:00,,IE,,22.2,,,760,,,15,,,7.6,,,27.3,,,45,,,0.701,,,42,,,0.746,,,761,,,0.7,,,9,,,7.6,,,43.2,E,2,-5,E,2,50,,,,,,,,,,,,,,
19-Apr-2024 14:00,,IE,,22.3,,,760,,,14,,,8.3,,,27.9,,,43,,,0.7,,,40,,,0.744,,,761,,,0.701,,,6,,,8.3,,,48.4,E,2,-2,E,2,45,,,,,,,,,,,,,,
19-Apr-2024 15:00,,IE,,22.4,,,759,,,14,,,8.6,,,28.5,,,45,,,0.701,,,42,,,0.742,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,41,,,,,,,,,,,,,,
19-Apr-2024 16:00,,IE,,22.6,,,759,,,14,,,8.8,,,28.8,,,48,,,0.701,,,46,,,0.741,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,41,,,,,,,,,,,,,,
19-Apr-2024 17:00,,IE,,22.6,,,759,,,14,,,8.5,,,28.5,,,43,,,0.701,,,41,,,0.742,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,38,,,,,,,,,,,,,,
19-Apr-2024 18:00,,IE,,22.7,,,758,,,14,,,8.3,,,28,,,57,,,0.701,,,54,,,0.743,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,53,,,,,,,,,,,,,,
19-Apr-2024 19:00,,IE,,22.9,,,758,,,14,,,7.2,,,28,,,45,,,0.701,,,42,,,0.744,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,40,,,,,,,,,,,,,,
19-Apr-2024 20:00,,IE,,22.9,,,758,,,15,,,5.8,,,27.4,,,61,,,0.701,,,57,,,0.749,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,57,,,,,,,,,,,,,,
19-Apr-2024 21:00,,IE,,22.9,,,758,,,16,,,4.9,,,27,,,69,,,0.701,,,64,,,0.751,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,61,,,,,,,,,,,,,,
19-Apr-2024 22:00,,IE,,22.9,,,757,,,16,,,4.3,,,27.1,,,58,,,0.702,,,54,,,0.753,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,51,,,,,,,,,,,,,,
19-Apr-2024 23:00,,IE,,22.8,,,757,,,16,,,3.4,,,27.2,,,61,,,0.701,,,56,,,0.754,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,52,,,,,,,,,,,,,,
20-Apr-2024 00:00,,IE,,23,,,757,,,17,,,2.6,,,27.2,,,83,,,0.701,,,77,,,0.757,,,758,,,0.701,,,6,,,2.6,,,49.7,E,,15,E,,69,,,,,,,,,,,,,,
20-Apr-2024 01:00,,IE,,22.8,,,757,,,17,,,1.9,,,27.3,,,50,,,0.701,,,46,,,0.758,,,757,,,0.701,,,6,,,1.9,,,48.9,E,,10,E,,40,,,,,,,,,,,,,,
20-Apr-2024 02:00,,IE,,22.7,,,757,,,17,,,1.5,,,27.3,,,39,,,0.701,,,36,,,0.759,,,757,,,0.701,,,6,,,1.5,,,48.3,E,,8,E,,31,,,,,,,,,,,,,,
20-Apr-2024 03:00,,IE,,22.6,,,756,,,17,,,1.3,,,27.3,,,33,,,0.702,,,30,,,0.76,,,757,,,0.701,,,7,,,1.2,,,47.8,E,,8,E,,25,,,,,,,,,,,,,,
20-Apr-2024 04:00,,IE,,22.5,,,756,,,17,,,0.9,,,27.3,,,27,,,0.701,,,25,,,0.76,,,757,,,0.701,,,7,,,0.9,,,47.6,E,,7,E,,20,,,,,,,,,,,,,,
20-Apr-2024 05:00,,IE,,22.4,,,756,,,16,,,1.1,,,27.3,,,23,,,0.702,,,21,,,0.76,,,756,,,0.701,,,6,,,1.1,,,47.4,E,,7,E,,16,,,,,,,,,,,,,,
20-Apr-2024 06:00,,IE,,22.5,,,755,,,16,,,1.7,,,27.3,,,27,,,0.701,,,25,,,0.758,,,756,,,0.701,,,6,,,1.7,,,47.6,E,,6,E,,21,,,,,,,,,,,,,,
20-Apr-2024 07:00,,IE,,22.4,,,755,,,15,,,2,,,27.3,,,21,,,0.701,,,19,,,0.756,,,756,,,0.702,,,6,,,2,,,47.6,E,,3,E,,18,,,,,,,,,,,,,,
20-Apr-2024 08:00,,IE,,22.2,,,755,,,15,,,2.5,,,27.2,,,18,,,0.701,,,16,,,0.755,,,755,,,0.701,,,6,,,2.5,,,47.4,E,,5,E,,13,,,,,,,,,,,,,,
20-Apr-2024 09:00,,IE,,22,,,755,,,14,,,3.9,,,27.2,,,21,,,0.701,,,19,,,0.751,,,755,,,0.701,,,6,,,3.8,,,47.9,E,,6,E,,15,,,,,,,,,,,,,,
20-Apr-2024 10:00,,IE,,22,,,754,,,13,,,6.1,,,27.8,,,26,,,0.701,,,24,,,0.744,,,755,,,0.701,,,5,,,6.1,,,49.5,E,,6,E,,20,,,,,,,,,,,,,,
20-Apr-2024 11:00,,IE,,22,,,754,,,12,,,8.6,,,28.7,,,26,,,0.701,,,25,,,0.737,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,21,,,,,,,,,,,,,,
20-Apr-2024 12:00,,IE,,22.2,,,754,,,12,,,10,,,30.3,,,25,,,0.7,,,24,,,0.733,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,19,,,,,,,,,,,,,,
20-Apr-2024 13:00,,IE,,22.5,,,754,,,11,,,11.3,,,30.9,,,33,,,0.7,,,31,,,0.73,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,29,,,,,,,,,,,,,,
20-Apr-2024 14:00,,IE,,22.9,,,753,,,11,,,12.2,,,31.1,,,31,,,0.7,,,30,,,0.727,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,29,,,,,,,,,,,,,,
20-Apr-2024 15:00,,IE,,23.3,,,753,,,11,,,12.7,,,31.2,,,28,,,0.702,,,27,,,0.726,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,26,,,,,,,,,,,,,,
20-Apr-2024 16:00,,IE,,23.7,,,752,,,10,,,14.5,,,31.3,,,38,,,0.7,,,37,,,0.72,,,,IE,,,IE,,,IE,,,IE,,,IE,,,IE,,33,,,,,,,,,,,,,,
